Track Name,Popularity,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,intensity
Come Home with Me,35,0.706,0.0573,0.00706,0.0,0.0377,0.495,126.112,-3.0478409999999996
Drop the Boy,30,0.553,0.0489,0.00307,0.0,0.0818,0.834,177.113,-7.079514
See You Again (feat. Charlie Puth),62,0.689,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,-3.608943
Now That We Found Love,65,0.744,0.0631,0.039,0.0,0.171,0.683,119.955,-10.282841
Call Out My Name,0,0.449,0.0369,0.211,0.0,0.327,0.165,134.144,-2.930308
Love Letters,12,0.379,0.0271,0.685,6.33e-06,0.204,0.231,142.342,-3.367598
Respect,80,0.805,0.041,0.164,2.2e-05,0.0546,0.965,114.95,-2.9161080000000004
"Doin' The Do - 7"" Radio Mix",37,0.801,0.0604,0.00765,7.7e-05,0.0639,0.909,120.378,-6.752947
Sweet Caroline,0,0.529,0.0274,0.611,0.000109,0.237,0.578,63.05,-2.0403819999999997
Call Me,77,0.56,0.0347,0.000785,0.00246,0.0892,0.74,142.669,-5.536575
Don't Take It Personal (Just One of Dem Days),61,0.731,0.0603,0.00864,5.14e-05,0.0579,0.529,175.72,-4.523054999999999
48 Crash,0,0.643,0.0933,0.00157,0.00977,0.169,0.868,137.979,-6.58053
My Hero,79,0.398,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,-3.904524
50 Ways to Say Goodbye,71,0.591,0.0478,0.000284,0.000278,0.142,0.736,140.043,-2.4908400000000004
Counting Stars,15,0.662,0.0364,0.0603,0.0,0.119,0.465,121.979,-3.5109500000000002
House of the Rising Sun,33,0.254,0.0472,0.0006,0.0004,0.265,0.412,118.752,-2.849184
Do It Again,54,0.867,0.0662,0.0224,0.704,0.104,0.623,123.974,-3.672816
Together We Are Beautiful,42,0.761,0.0381,0.366,2.81e-05,0.189,0.826,110.45,-7.248384000000001
Keep It Comin' Love,54,0.773,0.0294,0.232,1.61e-05,0.0349,0.971,110.383,-9.065854
Stay Awhile,0,0.558,0.0299,0.791,0.00488,0.0863,0.432,84.559,-4.80122
Me Myself & I,0,0.709,0.124,0.103,0.0,0.0769,0.773,99.906,-2.788621
Be the One,69,0.661,0.0499,0.117,1.32e-05,0.056,0.368,87.46,-2.454921
Don't You Worry Child - Radio Edit,85,0.612,0.0509,0.112,0.0,0.116,0.438,129.042,-2.6418
Private Idaho,59,0.551,0.0454,0.00724,1.13e-05,0.322,0.888,166.403,-6.004656
I Never Told You,55,0.498,0.0288,0.166,0.0,0.3,0.36,144.104,-3.3056760000000005
Saving All My Love For You,36,0.334,0.0496,0.155,1.66e-06,0.106,0.362,197.622,-3.3202770000000004
BLOW (with Chris Stapleton & Bruno Mars),66,0.631,0.0401,0.000245,0.0115,0.38,0.596,92.469,-4.2585999999999995
Wonderful,0,0.663,0.109,0.277,0.0,0.0466,0.758,92.681,-3.849258
Up/Down,24,0.69,0.322,0.0103,0.0,0.344,0.642,123.123,-3.612353
More Than This,71,0.653,0.0249,0.0508,0.0466,0.139,0.765,128.505,-5.200128
Every Time I Close My Eyes (with Kenny G),65,0.654,0.025,0.0624,0.0,0.0963,0.279,143.676,-3.210483
"Uptown Festival - 7"" Version",13,0.768,0.0355,0.175,0.0,0.065,0.907,125.393,-7.581129999999999
Free,62,0.757,0.0338,0.00254,0.0012,0.0357,0.621,125.002,-6.1277550000000005
Have You Ever Really Loved A Woman?,0,0.569,0.0313,0.536,1.44e-05,0.1,0.346,145.513,-4.785136
Problem,79,0.66,0.153,0.0192,8.83e-06,0.159,0.625,103.008,-4.30836
No More Lonely Nights (Ballad),0,0.32,0.0644,0.0044,0.000319,0.64,0.429,175.895,-6.024918
Scars,71,0.384,0.055,0.0948,0.0,0.168,0.471,89.922,-3.0706140000000004
One Track Mind,3,0.571,0.0305,0.0222,0.0,0.0748,0.96,145.241,-4.373772
Cheap Wine - 2011 Remastered,60,0.681,0.0374,0.164,0.0,0.207,0.833,123.661,-3.18262
I'm Every Woman,65,0.665,0.0535,0.0178,0.00288,0.126,0.4,119.555,-7.041958
"Because I Got High - From ""Jay And Silent Bob Strike Back"" Soundtrack",0,0.799,0.512,0.164,0.0,0.158,0.842,166.064,-3.0228780000000004
Love is a Beautiful Song,0,0.405,0.0274,0.68,0.0,0.0918,0.325,102.678,-2.427832
You Belong To Me - JX Mix,25,0.724,0.0502,0.0559,0.0895,0.214,0.437,141.86,-11.664432
Blister in the Sun - 2002 Remastered Version,0,0.701,0.0938,0.219,0.0,0.0821,0.89,97.042,-5.179806
The Reaper,57,0.633,0.0701,0.135,0.0,0.201,0.648,164.008,-4.392995999999999
Follow The Sun,0,0.507,0.035,0.0351,0.0,0.259,0.649,95.978,-3.8801140000000003
Ain't No Love (Ain't No Use) [feat. Melanie Williams],45,0.802,0.0415,0.00363,0.0794,0.312,0.966,127.035,-7.00336
Runaway Train (2022 Remaster),74,0.613,0.0425,0.0132,0.0,0.104,0.561,117.341,-5.7290399999999995
All I Want,40,0.604,0.0469,0.0943,0.00577,0.204,0.424,126.238,-4.840404
How Would You Feel (Paean),67,0.617,0.0269,0.424,0.0,0.127,0.242,139.979,-2.47157
