Track Name,Popularity,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,intensity,Cluster,PCA1,PCA2,Cluster Label
Paper In Fire,0,0.607,0.0426,0.00122,0.000261,0.0624,0.533,141.985,-4.29694,0,-0.35945381724699244,-0.14833656274846868,"Mid-tempo, Less Popular, Melancholic"
Wrecking Ball,0,0.466,0.0337,0.395,0.0,0.111,0.337,119.81,-2.475226,0,-0.41638890324361494,0.30699271450815435,"Mid-tempo, Less Popular, Melancholic"
Deep End,35,0.455,0.0399,0.761,0.0,0.0783,0.31,171.744,-2.519848,3,-0.10051662924857546,0.6072859406598732,"Acoustic, Neutral, Relaxed"
Stay The Night - Featuring Hayley Williams Of Paramore,67,0.596,0.0411,0.109,0.0,0.0947,0.461,127.961,-2.294442,1,0.30390198971890536,0.06761504573534155,"Popular, Moderate Dance, Positive Vibes"
Californication,63,0.592,0.027,0.0021,0.00165,0.127,0.328,96.483,-2.138396,1,0.2678650842528767,0.086482223788866,"Popular, Moderate Dance, Positive Vibes"
We Will Rock You - Remastered 2011,82,0.692,0.119,0.676,0.0,0.259,0.475,81.308,-3.636052,3,0.402367747701882,0.4290148516549154,"Acoustic, Neutral, Relaxed"
My Island Home,47,0.488,0.0321,0.0714,0.0,0.0756,0.544,79.707,-5.807256,1,0.10242290050766178,-0.015736197361722493,"Popular, Moderate Dance, Positive Vibes"
7 Days,74,0.659,0.0487,0.23,0.0,0.0951,0.888,83.014,-6.089188,1,0.3835728038067946,-0.15679384249178624,"Popular, Moderate Dance, Positive Vibes"
Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,28,0.706,0.411,0.226,0.0,0.0496,0.972,181.337,-7.315569999999999,2,-0.07004321263610308,-0.32814303876296264,"Upbeat, Less Popular, Positive"
Regardless,30,0.672,0.0477,0.551,1.05e-05,0.105,0.319,130.086,-3.4344270000000003,3,-0.11710798482848772,0.3908538819492811,"Acoustic, Neutral, Relaxed"
Convoy,64,0.68,0.141,0.857,0.000116,0.0881,0.796,111.62,-8.077668000000001,3,0.2172715284551563,0.2914791878069205,"Acoustic, Neutral, Relaxed"
Pretty Flamingo,0,0.553,0.0279,0.114,0.0,0.743,0.841,113.506,-5.36382,2,-0.37513523395748805,-0.2718546867564691,"Upbeat, Less Popular, Positive"
You Know I'm No Good,0,0.705,0.0309,0.0132,0.00428,0.0701,0.734,103.383,-2.9072420000000005,2,-0.3466788972293455,-0.2837676115419325,"Upbeat, Less Popular, Positive"
Turn Around (feat. Ne-Yo),31,0.59,0.0263,0.0179,6.46e-06,0.134,0.607,125.018,-2.257542,0,-0.04659051065906611,-0.1293158231012198,"Mid-tempo, Less Popular, Melancholic"
Morning After Dark (Featuring Nelly Furtado & SoShy),0,0.734,0.042,0.076,0.00134,0.0465,0.901,118.039,-3.934188,2,-0.34401713196355976,-0.36907124477080117,"Upbeat, Less Popular, Positive"
Somebody That I Used To Know,67,0.864,0.0367,0.571,7.92e-05,0.0947,0.755,129.048,-3.588005,1,0.284561840538305,0.10347281412202772,"Popular, Moderate Dance, Positive Vibes"
Matthew & Son - Stereo Version,0,0.534,0.0335,0.0503,0.00213,0.281,0.767,139.867,-5.490003000000001,2,-0.3637443012227637,-0.2587926884839527,"Upbeat, Less Popular, Positive"
Heaven & Hell - US Single Version,11,0.483,0.0323,0.505,6.32e-05,0.297,0.502,116.418,-6.943196000000001,3,-0.3127263648810321,0.24956809356653964,"Acoustic, Neutral, Relaxed"
You Are The Sunshine Of My Life,0,0.471,0.0509,0.802,2.55e-06,0.0931,0.661,131.892,-6.466684,3,-0.4440317412433712,0.3415686597232798,"Acoustic, Neutral, Relaxed"
Too Good At Goodbyes,87,0.681,0.0432,0.64,0.0,0.169,0.476,91.873,-3.064164,3,0.4567482992363574,0.41994017881479984,"Acoustic, Neutral, Relaxed"
You're the One,22,0.485,0.0348,0.479,0.0,0.67,0.88,136.892,-5.65264,2,-0.19042650026363545,-0.008828774977536258,"Upbeat, Less Popular, Positive"
We Made You,66,0.924,0.0792,0.107,1.45e-06,0.129,0.67,114.003,-1.026159,1,0.3218422960553725,-0.1597556305651549,"Popular, Moderate Dance, Positive Vibes"
Round Round,0,0.735,0.0346,0.00289,3.95e-06,0.111,0.758,126.587,-3.302855,2,-0.3437568394873486,-0.3236593104203956,"Upbeat, Less Popular, Positive"
Juju on That Beat (TZ Anthem),61,0.807,0.275,0.00381,0.0,0.391,0.78,160.517,-3.452204,1,0.2763918538876432,-0.3154505102072252,"Popular, Moderate Dance, Positive Vibes"
Poker Face,0,0.851,0.0786,0.12,1.33e-06,0.121,0.776,119.001,-3.722108,2,-0.3476942243998507,-0.29286534433031636,"Upbeat, Less Popular, Positive"
It Must Be Love,58,0.536,0.0355,0.103,1.08e-05,0.255,0.719,146.425,-3.250584,1,0.21700530457591982,-0.11216780059644743,"Popular, Moderate Dance, Positive Vibes"
The Wild Colonial Boy,19,0.448,0.0552,0.84,3.8e-06,0.0848,0.403,158.27,-4.656912,3,-0.2671881119820052,0.571971529361173,"Acoustic, Neutral, Relaxed"
You Talk Too Much,13,0.719,0.0376,0.797,1.43e-05,0.075,0.727,128.272,-5.897330999999999,3,-0.29447269265464754,0.24279308342477582,"Acoustic, Neutral, Relaxed"
Can't Get Enough Of You Baby,0,0.662,0.0291,0.0128,0.0,0.448,0.823,123.728,-4.14315,2,-0.3532462098025149,-0.3495388501380661,"Upbeat, Less Popular, Positive"
One In A Million,27,0.748,0.0907,0.327,1.43e-05,0.096,0.334,104.175,-3.180372,0,-0.11873526650463395,0.20717686490231588,"Mid-tempo, Less Popular, Melancholic"
Life Is A Highway,65,0.683,0.0346,0.0681,8.36e-06,0.248,0.841,103.036,-7.648184,1,0.304780260923771,-0.27014998781252825,"Popular, Moderate Dance, Positive Vibes"
IDGAF,83,0.836,0.0943,0.0403,0.0,0.0824,0.51,97.028,-3.2504,1,0.4899098451841821,-0.06552783300988951,"Popular, Moderate Dance, Positive Vibes"
As Long as You Love Me,0,0.804,0.0305,0.275,3.29e-05,0.215,0.826,98.12,-3.918492000000001,2,-0.3665724048545477,-0.20228421878950514,"Upbeat, Less Popular, Positive"
Come & Get It,0,0.349,0.0758,0.0102,0.000138,0.0812,0.542,148.985,-3.2857350000000003,0,-0.3748581649824425,-0.07021652773069609,"Mid-tempo, Less Popular, Melancholic"
Temperature,84,0.951,0.0685,0.106,0.0,0.0712,0.822,125.04,-2.805,1,0.5126708579646093,-0.2599796880149376,"Popular, Moderate Dance, Positive Vibes"
Philadelphia Freedom,0,0.702,0.0298,0.0744,2e-05,0.072,0.799,125.199,-5.288448,2,-0.3507974557649096,-0.3036055012235253,"Upbeat, Less Popular, Positive"
Who Dat Girl (feat. Akon),60,0.719,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,-2.433816,1,0.2577117530213002,-0.1538920960500872,"Popular, Moderate Dance, Positive Vibes"
True Colours,0,0.704,0.0297,0.64,1.72e-06,0.085,0.236,86.952,-2.157792,3,-0.4307928547266648,0.4814910154974037,"Acoustic, Neutral, Relaxed"
Set Adrift On Memory Bliss,52,0.737,0.0777,0.00682,0.2,0.537,0.587,99.773,-6.195168000000001,1,0.1632889816586749,-0.17750870236777233,"Popular, Moderate Dance, Positive Vibes"
Don't You Worry Child,65,0.632,0.0463,0.0144,0.0021,0.118,0.338,129.007,-3.56488,1,0.28968526492586655,0.06211564584143736,"Popular, Moderate Dance, Positive Vibes"
Colors Of The Wind - End Title,54,0.574,0.0476,0.365,1.32e-05,0.126,0.126,84.018,-4.301136,3,0.13074711746597012,0.45044518948023654,"Acoustic, Neutral, Relaxed"
Beneath Your Beautiful (feat. Emeli Sand̩),72,0.561,0.0318,0.227,0.0,0.104,0.238,83.962,-3.057354,1,0.3311634700347478,0.3158205429959667,"Popular, Moderate Dance, Positive Vibes"
Wouldn't It Be Nice,73,0.392,0.0335,0.718,3.76e-06,0.129,0.72,124.511,-4.438224,3,0.30057551188983667,0.36621506733363185,"Acoustic, Neutral, Relaxed"
Together,64,0.521,0.0683,0.0132,0.0806,0.0929,0.199,180.007,-4.774388,1,0.2663285980068284,0.16321471168805726,"Popular, Moderate Dance, Positive Vibes"
Sweat - Remix,73,0.813,0.03,0.0597,0.00137,0.0826,0.731,130.02,-4.125552,1,0.39320512323717827,-0.21172171185405303,"Popular, Moderate Dance, Positive Vibes"
True - Single Edit,73,0.742,0.0288,0.459,0.148,0.064,0.391,97.395,-4.849234000000001,1,0.3321851738953673,0.3054715202282858,"Popular, Moderate Dance, Positive Vibes"
One,64,0.464,0.0418,0.877,0.0,0.0789,0.306,93.528,-3.56952,3,0.18194609851227772,0.7292089248639048,"Acoustic, Neutral, Relaxed"
Stay,79,0.69,0.0622,0.253,0.0,0.116,0.544,102.04,-3.12555,1,0.4195873222377834,0.09624356623904129,"Popular, Moderate Dance, Positive Vibes"
Oh My Goodness,43,0.638,0.0681,0.0244,0.0,0.169,0.756,128.035,-4.390001,1,0.08274981172258616,-0.24061219310422194,"Popular, Moderate Dance, Positive Vibes"
Titanium (feat. Sia),63,0.604,0.103,0.0678,0.153,0.127,0.301,126.06,-2.894324,1,0.25867596849546926,0.1272357621638958,"Popular, Moderate Dance, Positive Vibes"
Dream Girl,7,0.617,0.0512,0.494,0.0,0.293,0.949,128.363,-6.068734000000001,2,-0.32549286258665744,-0.09398541672677296,"Upbeat, Less Popular, Positive"
View From a Bridge,17,0.593,0.0353,0.0486,0.000584,0.115,0.813,148.719,-5.009837999999999,2,-0.18277471442649718,-0.28367383419494735,"Upbeat, Less Popular, Positive"
Wrapped Up (feat. Travie McCoy),0,0.787,0.0549,0.0915,0.0,0.15,0.947,121.989,-3.982208,2,-0.34248228083222954,-0.4080292381556084,"Upbeat, Less Popular, Positive"
you broke me first,85,0.667,0.05,0.785,0.0,0.0906,0.0823,124.148,-3.502097,3,0.4062207655513712,0.7719921588736129,"Acoustic, Neutral, Relaxed"
Like It Like That,50,0.585,0.0733,0.00676,5.21e-05,0.262,0.958,161.05,-2.815862,1,0.15885121360924292,-0.3613458114830435,"Popular, Moderate Dance, Positive Vibes"
No Pressure,0,0.644,0.215,0.121,0.0,0.279,0.554,148.889,-4.091815,0,-0.3704145301289645,-0.10469829378472506,"Mid-tempo, Less Popular, Melancholic"
I Wanna Be With You,58,0.515,0.0368,0.0158,1.88e-05,0.412,0.637,150.031,-4.205856,1,0.21798732320688852,-0.12163255405104606,"Popular, Moderate Dance, Positive Vibes"
I'm In Control,55,0.725,0.0347,0.363,0.000716,0.125,0.711,104.001,-3.128708,1,0.17380937512196581,0.024703113732773285,"Popular, Moderate Dance, Positive Vibes"
Can't Remember to Forget You,0,0.694,0.0661,0.122,0.0,0.141,0.824,137.968,-2.88036,2,-0.35566341241618254,-0.27575507281518036,"Upbeat, Less Popular, Positive"
"It Ain't Me, Babe (with June Carter Cash)",51,0.634,0.03,0.271,0.0,0.165,0.623,105.642,-3.871265,1,0.13275402424644855,0.036106940776227225,"Popular, Moderate Dance, Positive Vibes"
Forever Young,54,0.379,0.0307,0.0167,0.000679,0.0915,0.301,115.272,-4.557032,1,0.1620860818667923,0.14704753432951156,"Popular, Moderate Dance, Positive Vibes"
It's Too Late,72,0.45,0.0353,0.493,0.00564,0.134,0.812,208.282,-5.6213560000000005,1,0.31962090231471185,0.10827242966285977,"Popular, Moderate Dance, Positive Vibes"
Billionaire (feat. Bruno Mars),76,0.633,0.258,0.297,0.0,0.206,0.659,86.776,-4.309219,1,0.3871112082271366,0.04696270706187844,"Popular, Moderate Dance, Positive Vibes"
Star Wars Theme/Cantina Band,40,0.677,0.0912,0.00121,0.916,0.322,0.545,124.929,-3.5309850000000003,1,0.027914931241713015,-0.15038935643817897,"Popular, Moderate Dance, Positive Vibes"
Jump In My Car,49,0.769,0.109,0.488,1.09e-06,0.316,0.857,123.057,-8.706796,1,0.10539756292324132,-0.05315715594629533,"Popular, Moderate Dance, Positive Vibes"
Safe And Sound,0,0.653,0.033,0.00021,0.0047,0.0838,0.762,117.949,-3.992454,2,-0.3477253669548541,-0.3063725678337144,"Upbeat, Less Popular, Positive"
Witchcraft,64,0.42,0.0581,2.84e-05,0.00861,0.379,0.182,174.038,-3.041691,1,0.25688335721636824,0.20372037133122708,"Popular, Moderate Dance, Positive Vibes"
'74-'75,0,0.53,0.025,0.183,0.00227,0.0675,0.43,144.202,-5.40971,0,-0.3871686159148061,0.05946662386044288,"Mid-tempo, Less Popular, Melancholic"
